LA_Code,District,Total_Schools,Emails_Collected,Remaining_To_Scrape,Coverage_Pct
305,Bromley,100,4,96,4.0
810,"Kingston upon Hull, City of",98,2,96,2.0
391,Newcastle upon Tyne,99,4,95,4.0
343,Sefton,102,7,95,6.9
306,Croydon,126,32,94,25.4
856,Leicester,115,21,94,18.3
887,Medway,103,9,94,8.7
879,Plymouth,98,4,94,4.1
357,Tameside,99,7,92,7.1
316,Newham,104,14,90,13.5
355,Salford,100,10,90,10.0
370,Barnsley,91,4,87,4.4
861,Stoke-on-Trent,94,7,87,7.4
332,Dudley,108,22,86,20.4
877,Warrington,88,3,85,3.4
866,Swindon,88,4,84,4.5
354,Rochdale,90,7,83,7.8
334,Solihull,84,2,82,2.4
800,Bath and North East Somerset,81,0,81,0.0
351,Bury,84,4,80,4.8
390,Gateshead,83,3,80,3.6
802,North Somerset,80,0,80,0.0
302,Barnet,133,56,77,42.1
392,North Tyneside,78,2,76,2.6
813,North Lincolnshire,80,6,74,7.5
808,Stockton-on-Tees,78,4,74,5.1
312,Hillingdon,98,25,73,25.5
889,Blackburn with Darwen,77,5,72,6.5
894,Telford and Wrekin,75,3,72,4.0
317,Redbridge,79,8,71,10.1
884,"Herefordshire, County of",100,31,69,31.0
874,Peterborough,82,13,69,15.9
303,Bexley,84,16,68,19.0
311,Havering,83,15,68,18.1
210,Southwark,103,36,67,35.0
822,Bedford,77,11,66,14.3
308,Enfield,97,32,65,33.0
342,St. Helens,69,4,65,5.8
381,Calderdale,100,36,64,36.0
209,Lewisham,86,22,64,25.6
358,Trafford,90,26,64,28.9
320,Waltham Forest,79,15,64,19.0
872,Wokingham,71,9,62,12.7
340,Knowsley,61,0,61,0.0
208,Lambeth,91,31,60,34.1
852,Southampton,77,17,60,22.1
846,Brighton and Hove,64,5,59,7.8
313,Hounslow,77,18,59,23.4
812,North East Lincolnshire,63,4,59,6.3
869,West Berkshire,82,23,59,28.0
816,York,63,4,59,6.3
851,Portsmouth,61,3,58,4.9
876,Halton,66,9,57,13.6
309,Haringey,86,29,57,33.7
807,Redcar and Cleveland,60,3,57,5.0
821,Luton,70,14,56,20.0
883,Thurrock,56,1,55,1.8
307,Ealing,94,40,54,42.6
868,Windsor and Maidenhead,66,12,54,18.2
806,Middlesbrough,57,4,53,7.0
304,Brent,89,38,51,42.7
870,Reading,61,10,51,16.4
211,Tower Hamlets,95,44,51,46.3
318,Richmond upon Thames,60,10,50,16.7
206,Islington,66,17,49,25.8
882,Southend-on-Sea,52,4,48,7.7
319,Sutton,64,16,48,25.0
212,Wandsworth,84,36,48,42.9
310,Harrow,60,13,47,21.7
203,Greenwich,89,43,46,48.3
921,Isle of Wight,47,2,45,4.3
301,Barking and Dagenham,61,17,44,27.9
890,Blackpool,44,1,43,2.3
871,Slough,51,8,43,15.7
393,South Tyneside,62,19,43,30.6
841,Darlington,43,1,42,2.3
204,Hackney,77,35,42,45.5
880,Torbay,43,1,42,2.3
205,Hammersmith and Fulham,58,18,40,31.0
213,Westminster,56,17,39,30.4
805,Hartlepool,39,4,35,10.3
867,Bracknell Forest,37,5,32,13.5
315,Merton,56,26,30,46.4
207,Kensington and Chelsea,40,12,28,30.0
314,Kingston upon Thames,52,24,28,46.2
202,Camden,57,36,21,63.2
857,Rutland,21,1,20,4.8
201,City of London,1,0,1,0.0
420,Isles Of Scilly,1,0,1,0.0
